Pipeline Type,Cause Category,Unintentional Release (Barrels)
ABOVEGROUND,INCORRECT OPERATION,21
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.12
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2
UNDERGROUND,NATURAL FORCE DAMAGE,0.48
UNDERGROUND,EXCAVATION DAMAGE,700
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,3784
TANK,MATERIAL/WELD/EQUIP FAILURE,35
ABOVEGROUND,NATURAL FORCE DAMAGE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.4
TANK,ALL OTHER CAUSES,0.48
UNDERGROUND,NATURAL FORCE DAMAGE,2237
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,3
UNDERGROUND,CORROSION,2
TANK,NATURAL FORCE DAMAGE,53
ABOVEGROUND,CORROSION,21
ABOVEGROUND,INCORRECT OPERATION,0.19
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,445
ABOVEGROUND,NATURAL FORCE DAMAGE,3.49
TANK,MATERIAL/WELD/EQUIP FAILURE,6
ABOVEGROUND,INCORRECT OPERATION,0.48
ABOVEGROUND,NATURAL FORCE DAMAGE,0.24
ABOVEGROUND,OTHER OUTSIDE FORCE DAMAGE,1
UNDERGROUND,CORROSION,5
TANK,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.79
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,3
TANK,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,NATURAL FORCE DAMAGE,6.76
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.71
ABOVEGROUND,INCORRECT OPERATION,1.2
TANK,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,202
TANK,ALL OTHER CAUSES,0.6
ABOVEGROUND,OTHER OUTSIDE FORCE DAMAGE,20
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,15
ABOVEGROUND,NATURAL FORCE DAMAGE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,5
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.64
ABOVEGROUND,NATURAL FORCE DAMAGE,0.71
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.12
TANK,MATERIAL/WELD/EQUIP FAILURE,0.12
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.95
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,8
UNDERGROUND,CORROSION,9
UNDERGROUND,CORROSION,1
ABOVEGROUND,INCORRECT OPERATION,0.71
ABOVEGROUND,INCORRECT OPERATION,28
UNDERGROUND,INCORRECT OPERATION,13718
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.55
UNDERGROUND,CORROSION,198
ABOVEGROUND,INCORRECT OPERATION,3
ABOVEGROUND,ALL OTHER CAUSES,2.99
,,
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,7.88
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.31
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,84
TANK,NATURAL FORCE DAMAGE,168
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,1
