Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
ONEOK NGL PIPELINE LP,0,21
PORTLAND PIPELINE CORP,0.12,0
"PETROLOGISTICS OLEFINS, LLC",0,2
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.48,0
"PLAINS PIPELINE, L.P.",698,2
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",1547,2237
"KINDER MORGAN LIQUID TERMINALS, LLC",30,5
MOBIL CORP,0,0.24
"KINDER MORGAN LIQUID TERMINALS, LLC",0.4,0
CONOCOPHILLIPS,0.48,0
TARGA RESOURCES OPERATING LP,0,2237
"NUSTAR LOGISTICS, L.P.",3,0
JAYHAWK PIPELINE LLC,1,1
CONOCOPHILLIPS,51,2
"PLAINS MARKETING, L.P.",21,0
"CCPS TRANSPORTATION, LLC",0.19,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,445
"SHELL PIPELINE CO., L.P.",0,3.49
"KINDER MORGAN LIQUID TERMINALS, LLC",6,0
"KOCH PIPELINE COMPANY, L.P.",0,0.48
KIANTONE PIPELINE CORP,0.2,0.04
PACIFIC PIPELINE SYSTEM LLC,1,0
JAYHAWK PIPELINE LLC,2,3
"TE PRODUCTS PIPELINE COMPANY, LLC",0,2
"MAGELLAN PIPELINE COMPANY, LP",0.9,0.89
EXPLORER PIPELINE CO,2,1
PACIFIC PIPELINE SYSTEM LLC,2,0
PLANTATION PIPE LINE CO,6.76,0
PLANTATION PIPE LINE CO,0.71,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,1.2,0
"TE PRODUCTS PIPELINE COMPANY, LLC",0,1
LOOP INC,202,0
"SHELL PIPELINE CO., L.P.",0,0.6
BELLE FOURCHE PIPELINE CO,13,7
SEMGROUP LP,10,5
WEST SHORE PIPELINE CO,0.19,0.05
"MAGELLAN PIPELINE COMPANY, LP",1.67,1.33
"SHELL PIPELINE CO., L.P.",0,5
PLANTATION PIPE LINE CO,0.64,0
"BUCKEYE PARTNERS, LP",0.71,0
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
"BUCKEYE PARTNERS, LP",0.95,0
SUNOCO PIPELINE L.P.,6,2
"PLAINS PIPELINE, L.P.",9,0
LDH ENERGY PIPELINE L.P.,0,1
CONOCOPHILLIPS,0,0.71
ONEOK NGL PIPELINE LP,0,28
ONEOK NGL PIPELINE LP,0,13718
COLONIAL PIPELINE CO,0.55,0
MID - VALLEY PIPELINE CO,196,2
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,3,0
"CHAPARRAL ENERGY, LLC",0,2.99
ENTERPRISE PRODUCTS OPERATING LLC,0,0.5
COLONIAL PIPELINE CO,7.08,0.8
EXXONMOBIL PIPELINE CO,0,0.31
SINCLAIR TRANSPORTATION COMPANY,83,1
"MAGELLAN PIPELINE COMPANY, LP",75,93
SUNOCO PIPELINE L.P.,0.5,0.5
SUNOCO PIPELINE L.P.,0.05,0.95
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.75,0
"MAGELLAN PIPELINE COMPANY, LP",45,70
SUNOCO PIPELINE L.P.,0,0.12
"TEPPCO CRUDE PIPELINE, LLC",2,0
SUNOCO PIPELINE L.P.,0,0.6
"SFPP, LP",5.12,42.88
ENBRIDGE PIPELINES (OZARK) L.L.C.,7,0
PACIFIC PIPELINE SYSTEM LLC,240,0
BP PIPELINE (NORTH AMERICA) INC.,90,0
BP PIPELINE (NORTH AMERICA) INC.,0.47,0
COLONIAL PIPELINE CO,1.35,0
CONOCOPHILLIPS,0.24,0
ENBRIDGE PIPELINES (OZARK) L.L.C.,0.25,0
PLANTATION PIPE LINE CO,0.47,0
"SUNOCO, INC (R&M)",1699,1
"WHITECAP PIPE LINE COMPANY, L.L.C.",0,5.7
CONOCOPHILLIPS,0.6,0.11
PROGRESS ENERGY,191,95
CONOCOPHILLIPS,0.6,0
"BUCKEYE PARTNERS, LP",40,0
ENTERPRISE PRODUCTS OPERATING LLC,0,656
COLONIAL PIPELINE CO,1.2,0
KINDER MORGAN PIPELINES (USA) INC,20,0
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
"BRIDGER LAKE, LLC",0,0
SUNOCO PIPELINE L.P.,3,0
CHEVRON PIPE LINE CO,185,215
CHEVRON PRODUCTS COMPANY,4,0
"MAGELLAN PIPELINE COMPANY, LP",0.71,0
CONOCOPHILLIPS,0.07,0.17
"PLAINS PIPELINE, L.P.",0.36,0
SUNOCO PIPELINE L.P.,0,0.02
PLANTATION PIPE LINE CO,4.76,0
