Year,LiquidType
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,CRUDE OIL
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,CRUDE OIL
2010,CRUDE OIL
2010,CRUDE OIL
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
2010,CRUDE OIL
2010,CRUDE OIL
2010,CRUDE OIL
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
2010,CRUDE OIL
2010,CRUDE OIL
2010,CRUDE OIL
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,CRUDE OIL
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
2010,CRUDE OIL
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
2010,CRUDE OIL
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
2010,CRUDE OIL
2010,CO2 (CARBON DIOXIDE)
2010,CRUDE OIL
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
2010,CRUDE OIL
2010,CRUDE OIL
2010,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID"
2010,CRUDE OIL
