Accident Year,Accident State,Unintentional Release (Barrels)
2010,KS,21
2010,ME,0.12
2010,LA,2
2010,WI,0.48
2010,TX,700
2010,ND,3784
2010,TX,35
2010,TX,0.24
2010,TX,0.4
2010,TX,0.48
2010,LA,2237
2010,TX,3
2010,KS,2
2010,OK,53
2010,OK,21
2010,IL,0.19
2010,OK,445
2010,LA,3.49
2010,TX,6
2010,MN,0.48
2010,NY,0.24
2010,CA,1
2010,KS,5
2010,IN,2
2010,CO,1.79
2010,IL,3
2010,CA,2
2010,LA,6.76
2010,MS,0.71
2010,KS,1.2
2010,IN,1
2010,LA,202
2010,TX,0.6
2010,ND,20
2010,KS,15
2010,WI,0.24
2010,KS,3
2010,LA,5
2010,LA,0.64
2010,IN,0.71
2010,IL,0.12
2010,KS,0.12
2010,NJ,0.95
2010,TX,8
2010,TX,9
2010,TX,1
2010,WA,0.71
2010,IA,28
2010,OK,13718
2010,NC,0.55
2010,TX,198
2010,MN,3
2010,KS,2.99
2010,,0.5
2010,LA,7.88
2010,LA,0.31
2010,MO,84
2010,KS,168
2010,TX,1
2010,TX,1
2010,WI,0.75
2010,IA,115
2010,TX,0.12
2010,NM,2
2010,TX,0.6
2010,CA,48
2010,OK,7
2010,CA,240
2010,IL,90
2010,TX,0.47
2010,LA,1.35
2010,LA,0.24
2010,OK,0.25
2010,LA,0.47
2010,PA,1700
2010,,5.7
2010,TX,0.71
2010,FL,286
2010,LA,0.6
2010,IL,40
2010,MO,656
2010,VA,1.2
2010,MO,20
2010,OK,0.12
2010,WY,0
2010,OK,3
2010,LA,400
2010,KY,4
2010,TX,0.71
2010,MO,0.24
2010,TX,0.36
2010,OK,0.02
2010,TN,4.76
2010,IN,0.01
2010,TX,0.1
2010,TX,0.84
2010,TX,15
2010,MO,0.98
2010,TX,0.12
2010,MN,5
2010,MN,25
2010,KS,1669
2010,LA,13
2010,MI,91
2010,KS,1
2010,ID,22
2010,KS,2
2010,GA,3
2010,TX,0.25
2010,TX,0.6
2010,IA,0.36
2010,KS,770
2010,NJ,0.71
2010,TX,1
2010,CA,2
2010,NV,5.75
2010,ND,40
2010,NM,2
2010,TX,0.53
2010,TX,9
2010,LA,125
2010,TX,3
2010,TX,13
2010,TX,70
2010,TX,1
2010,NJ,0.38
2010,TX,4.1
2010,NJ,1
2010,KS,0.12
2010,OH,10
2010,SD,0.11
2010,TX,4
2010,TX,4.5
2010,AK,2580
2010,CO,4.7
2010,LA,1.31
2010,KS,10
2010,TX,0.36
2010,KS,1
2010,TX,0.83
2010,MI,2121
2010,TX,2
2010,OK,85
2010,SC,1.29
2010,CA,508
2010,TX,1
2010,TX,4618
2010,OK,11
2010,MN,1.9
2010,TX,2
2010,ND,1
2010,IL,0.1
2010,LA,10.7
2010,WI,1
2010,LA,3
2010,SC,10.83
2010,TX,3
2010,TX,0.5
2010,WY,0.36
2010,TX,2.11
2010,UT,800
2010,OK,6
2010,OK,1
2010,WY,30
