Accident Year,Accident State,Unintentional Release (Barrels)
2010,AL,0.24
2011,AL,4
2011,AL,69
2012,AL,8
2012,AL,0.21
2013,AL,0.2
2013,AL,1
2013,AL,0.1
2014,AL,3
2014,AL,0.24
2014,AL,919
2015,AL,9.52
2015,AL,0.26
2016,AL,2.67
2016,AL,3.02
2016,AL,1.5
2016,AL,14.29
2016,AL,9.6
2016,AL,6.91
2016,AL,7370
2016,AL,4444.5
2010,CA,1
2010,CA,2
2010,CA,48
2010,CA,240
2010,CA,2
2010,CA,508
2010,CA,9
2010,CA,0.94
2010,CA,2.5
2010,CA,17
2010,CA,120
2010,CA,0.76
2010,CA,0.54
2010,CA,0.24
2010,CA,30
2011,CA,0.6
2011,CA,1
2011,CA,8.19
2011,CA,4.1
2011,CA,4
2011,CA,0.24
2011,CA,4
2011,CA,20
2011,CA,1
2011,CA,2
2011,CA,35
2011,CA,0.35
2011,CA,0.7
2011,CA,2
2011,CA,38
2011,CA,5
2011,CA,56
2011,CA,0.48
2011,CA,0.24
2011,CA,41
2011,CA,3
2011,CA,45
2011,CA,0.02
2011,CA,0.5
2012,CA,0.84
2012,CA,2
2012,CA,0.5
2012,CA,4.5
2012,CA,2.7
2012,CA,5
2012,CA,9.29
2012,CA,0.42
2012,CA,0.6
2012,CA,13
2012,CA,15
2012,CA,25
2012,CA,2.9
2012,CA,0.24
2012,CA,19.6
2012,CA,3
2012,CA,6.71
2012,CA,0.24
2012,CA,45
2012,CA,0.67
2012,CA,20
2012,CA,600
2013,CA,0.22
2013,CA,0.71
2013,CA,0.36
2013,CA,2.3
2013,CA,1.3
2013,CA,0.69
2013,CA,15.5
2013,CA,0.34
2013,CA,10.65
2013,CA,130
2013,CA,1.36
2013,CA,10
2013,CA,0.6
2013,CA,500
2013,CA,133
2013,CA,6
2013,CA,0.16
2014,CA,440
2014,CA,65
2014,CA,186
2014,CA,15
2014,CA,238
2014,CA,39
2014,CA,0.26
2014,CA,331
2014,CA,989
2014,CA,0.24
2014,CA,0.5
2014,CA,7.2
2014,CA,37
2014,CA,0.12
2014,CA,22
2014,CA,225
2014,CA,10
2014,CA,2.38
2014,CA,16
